word,surface_form,sentence,sentence_domain,ambiguity_score,semantic_similarity_spread,contextual_confidence_gap,domain_diversity,is_ambiguous,ambiguity_type,top_sense_1_domain,top_sense_1_gloss,top_sense_2_domain,top_sense_2_gloss,explanation
output,output,This export on hardcopy and electronic output shall leave the actual PHI data unmodified in the original record,Software/IT,0.469,0.561,0.3,0.0,False,None,General,signal that comes out of an electronic system,,,"The word ""output"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [General] signal that comes out of an electronic system (context similarity=0.19)
  Candidate sense 2: [General] what is produced in a given time period (context similarity=0.07)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""General"" domain but represent distinct concepts."
leave,leave,This export on hardcopy and electronic output shall leave the actual PHI data unmodified in the original record,Software/IT,0.823,0.727,1.0,0.0,True,Intra-Domain,Software/IT,leave unchanged or undisturbed or refrain from taking,Software/IT,go away from a place,"The word ""leave"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] leave unchanged or undisturbed or refrain from taking (context similarity=0.17)
  Candidate sense 2: [Software/IT] go away from a place (context similarity=0.10)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
record,record,This export on hardcopy and electronic output shall leave the actual PHI data unmodified in the original record,Software/IT,0.836,0.964,0.6,0.0,True,Intra-Domain,Healthcare,the sum of recognized accomplishments,Healthcare,a compilation of the known facts regarding something or someone,"The word ""record"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Healthcare] the sum of recognized accomplishments (context similarity=0.11)
  Candidate sense 2: [Healthcare] a compilation of the known facts regarding something or someone (context similarity=0.10)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Healthcare"" domain but represent distinct concepts."
system,system,The system shall provide the ability to create hardcopy and electronic report summary information (procedures  medications  labs  immunizations  allergies  and vital signs),General,0.57,0.5,0.7,0.5,False,None,General,instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity,,,"The word ""system"" appears in a sentence whose detected domain is ""General"".
  Candidate sense 1: [General] instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity (context similarity=0.00)
  Candidate sense 2: [Software/IT] a group of independent but interrelated elements comprising a unified whole (context similarity=0.00)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""General"" vs. ""Software/IT"")."
provide,provide,The system shall provide the ability to create hardcopy and electronic report summary information (procedures  medications  labs  immunizations  allergies  and vital signs),General,0.721,0.84,0.5,0.5,False,None,General,take measures in preparation for,,,"The word ""provide"" appears in a sentence whose detected domain is ""General"".
  Candidate sense 1: [General] take measures in preparation for (context similarity=0.06)
  Candidate sense 2: [General] make a possibility or provide opportunity for; permit to be attainable or cause to remain (context similarity=0.05)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""General"" domain but represent distinct concepts."
create,create,The system shall provide the ability to create hardcopy and electronic report summary information (procedures  medications  labs  immunizations  allergies  and vital signs),General,0.79,0.999,0.4,0.5,True,Intra-Domain,Software/IT,create by artistic means,Software/IT,make or cause to be or to become,"The word ""create"" appears in a sentence whose detected domain is ""General"".
  Candidate sense 1: [Software/IT] create by artistic means (context similarity=0.11)
  Candidate sense 2: [Software/IT] make or cause to be or to become (context similarity=0.11)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
report,report,The system shall provide the ability to create hardcopy and electronic report summary information (procedures  medications  labs  immunizations  allergies  and vital signs),General,0.793,0.95,0.5,0.0,True,Intra-Domain,General,a written document describing the findings of some individual or group,General,a written evaluation of a student's scholarship and deportment,"The word ""report"" appears in a sentence whose detected domain is ""General"".
  Candidate sense 1: [General] a written document describing the findings of some individual or group (context similarity=0.12)
  Candidate sense 2: [General] a written evaluation of a student's scholarship and deportment (context similarity=0.11)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""General"" domain but represent distinct concepts."
summary,summary,The system shall provide the ability to create hardcopy and electronic report summary information (procedures  medications  labs  immunizations  allergies  and vital signs),General,0.487,0.696,0.1,0.5,False,None,Software/IT,performed speedily and without formality,,,"The word ""summary"" appears in a sentence whose detected domain is ""General"".
  Candidate sense 1: [Software/IT] performed speedily and without formality (context similarity=0.18)
  Candidate sense 2: [Finance/Business] a brief statement that presents the main points in a concise form (context similarity=0.10)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Software/IT"" vs. ""Finance/Business"")."
information,information,The system shall provide the ability to create hardcopy and electronic report summary information (procedures  medications  labs  immunizations  allergies  and vital signs),General,0.538,0.666,0.3,0.0,False,None,General,(communication theory) a numerical measure of the uncertainty of an outcome,,,"The word ""information"" appears in a sentence whose detected domain is ""General"".
  Candidate sense 1: [General] (communication theory) a numerical measure of the uncertainty of an outcome (context similarity=0.12)
  Candidate sense 2: [General] a message received and understood (context similarity=0.06)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""General"" domain but represent distinct concepts."
procedure,procedures,The system shall provide the ability to create hardcopy and electronic report summary information (procedures  medications  labs  immunizations  allergies  and vital signs),General,0.07,0.0,0.2,0.0,False,None,General,"a set sequence of steps, part of larger computer program",,,"The word ""procedure"" appears in a sentence whose detected domain is ""General"".
  Candidate sense 1: [General] a set sequence of steps, part of larger computer program (context similarity=0.05)
  Candidate sense 2: [General] a particular course of action intended to achieve a result (context similarity=0.00)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""General"" domain but represent distinct concepts."
sign,signs,The system shall provide the ability to create hardcopy and electronic report summary information (procedures  medications  labs  immunizations  allergies  and vital signs),General,0.852,0.826,0.9,0.5,True,Inter-Domain,Healthcare,a perceptible indication of something not immediately apparent (as a visible clue that something has happened),Software/IT,a public display of a message,"The word ""sign"" appears in a sentence whose detected domain is ""General"".
  Candidate sense 1: [Healthcare] a perceptible indication of something not immediately apparent (as a visible clue that something has happened) (context similarity=0.10)
  Candidate sense 2: [Software/IT] a public display of a message (context similarity=0.07)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Healthcare"" vs. ""Software/IT"")."
